gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,some college,standard,none,81,81,84
male,group D,high school,standard,completed,73,78,78
female,group A,some college,free/reduced,none,68,77,76
female,group D,high school,standard,completed,63,61,68
female,group B,associate's degree,free/reduced,none,63,76,73
female,group C,some college,free/reduced,none,60,74,73
female,group B,some college,standard,completed,66,81,84
male,group B,bachelor's degree,free/reduced,none,67,66,65
female,group B,some college,free/reduced,none,74,90,81
male,group E,some college,free/reduced,completed,67,57,60
female,group A,some college,standard,completed,71,85,77
female,group D,master's degree,free/reduced,none,71,74,78
male,group C,associate's degree,standard,none,94,88,85
female,group B,high school,standard,none,64,70,70
female,group B,some college,standard,completed,60,79,82
male,group B,high school,standard,none,90,75,71
female,group C,some college,standard,none,59,67,61
male,group D,some college,standard,none,72,61,65
female,group C,associate's degree,free/reduced,completed,46,45,53
male,group B,some high school,standard,none,65,68,60
male,group C,some high school,free/reduced,completed,52,59,50
male,group C,bachelor's degree,standard,completed,85,80,77
female,group C,some college,standard,completed,86,93,96
female,group E,some college,free/reduced,none,53,64,55
female,group C,some high school,free/reduced,none,58,64,59
male,group C,high school,standard,none,68,61,53
male,group D,bachelor's degree,standard,completed,92,95,99
male,group A,some college,free/reduced,none,40,37,33
male,group B,high school,free/reduced,completed,59,63,58
female,group D,some high school,standard,completed,67,67,72
male,group C,associate's degree,standard,none,76,73,67
male,group D,some high school,free/reduced,none,59,54,53
female,group C,high school,free/reduced,none,64,81,76
male,group A,some college,free/reduced,none,85,74,74
male,group C,some college,free/reduced,none,82,82,76
male,group C,bachelor's degree,free/reduced,none,54,53,54
male,group C,high school,standard,none,77,85,76
male,group E,some college,standard,none,98,80,78
female,group A,some college,free/reduced,completed,49,71,70
male,group E,some high school,standard,completed,86,75,69
female,group C,associate's degree,standard,completed,83,98,97
female,group C,high school,standard,none,27,34,27
male,group E,associate's degree,free/reduced,completed,72,60,60
male,group C,associate's degree,standard,none,72,66,62
male,group C,some high school,free/reduced,none,66,67,59
female,group D,some high school,free/reduced,none,17,28,30
female,group C,high school,standard,none,78,83,76
male,group C,bachelor's degree,standard,none,53,57,52
male,group D,associate's degree,standard,none,44,36,41
female,group D,some college,standard,completed,73,83,97
male,group E,some college,free/reduced,none,91,78,83
male,group B,high school,free/reduced,completed,83,82,82
male,group E,high school,free/reduced,completed,68,71,71
female,group E,some college,free/reduced,none,52,71,70
male,group C,some college,standard,completed,46,40,45
female,group B,associate's degree,free/reduced,completed,63,77,72
female,group B,high school,standard,none,63,68,65
male,group D,some high school,free/reduced,none,47,39,33
female,group C,some college,standard,completed,78,74,93
male,group B,high school,free/reduced,completed,54,58,54
male,group C,some high school,standard,none,56,53,52
male,group E,master's degree,free/reduced,none,60,60,51
male,group E,some high school,free/reduced,completed,42,52,48
female,group E,associate's degree,free/reduced,none,62,63,65
female,group B,some college,free/reduced,completed,45,49,55
female,group C,some college,standard,none,87,89,89
female,group C,bachelor's degree,standard,none,92,93,90
male,group D,high school,standard,completed,60,52,57
male,group C,some college,standard,none,50,54,55
female,group E,high school,standard,completed,80,75,83
female,group B,bachelor's degree,standard,completed,78,91,91
male,group D,some college,standard,none,72,69,70
male,group A,associate's degree,standard,completed,73,80,79
male,group C,bachelor's degree,free/reduced,none,61,66,60
male,group C,some high school,standard,none,61,67,56
female,group D,some high school,free/reduced,none,45,55,55
male,group E,bachelor's degree,standard,completed,93,80,85
male,group A,some high school,standard,none,52,52,43
female,group B,some college,standard,completed,69,75,78
male,group C,some college,standard,none,70,66,61
male,group D,associate's degree,free/reduced,completed,84,90,86
female,group C,associate's degree,standard,completed,72,85,87
male,group C,high school,standard,none,59,47,45
male,group B,some college,standard,none,94,88,77
male,group C,high school,free/reduced,none,44,54,40
female,group E,bachelor's degree,free/reduced,none,54,67,63
male,group B,high school,free/reduced,none,40,30,27
female,group D,some college,standard,completed,54,69,71
female,group B,some high school,free/reduced,completed,63,74,76
male,group D,high school,free/reduced,none,36,31,25
male,group C,associate's degree,standard,none,78,68,73
male,group D,high school,free/reduced,none,63,57,56
female,group E,associate's degree,free/reduced,none,73,79,76
male,group D,some college,standard,completed,77,79,80
male,group D,some college,standard,none,82,76,68
female,group B,some college,standard,none,77,85,81
female,group B,some high school,standard,none,47,60,60
female,group C,associate's degree,standard,none,62,74,69
male,group D,bachelor's degree,standard,none,68,60,59
female,group D,some college,standard,completed,91,98,100
female,group D,associate's degree,standard,completed,68,75,79
female,group B,master's degree,free/reduced,completed,54,85,79
female,group B,master's degree,standard,none,52,64,65
male,group E,high school,standard,completed,83,75,77
female,group B,some college,free/reduced,none,30,48,43
female,group C,associate's degree,standard,none,37,44,44
male,group E,some high school,standard,completed,63,58,54
male,group E,some high school,standard,completed,88,90,83
male,group C,bachelor's degree,standard,completed,67,72,74
male,group C,bachelor's degree,free/reduced,completed,79,91,88
male,group D,high school,free/reduced,none,47,47,47
male,group C,associate's degree,standard,completed,70,63,62
female,group C,high school,free/reduced,completed,46,55,59
female,group B,bachelor's degree,standard,none,83,85,90
female,group B,associate's degree,standard,completed,65,80,79
male,group D,associate's degree,standard,none,90,74,77
male,group B,master's degree,free/reduced,none,73,78,72
female,group D,some college,standard,none,73,77,80
male,group D,some college,standard,none,88,94,93
female,group C,some high school,standard,none,52,67,62
female,group C,some college,standard,completed,84,93,94
female,group D,associate's degree,standard,completed,70,85,84
male,group B,some college,standard,none,68,60,62
male,group C,some high school,standard,none,57,41,41
male,group A,some college,free/reduced,none,57,62,57
male,group A,some high school,standard,none,85,72,73
male,group C,associate's degree,standard,none,79,73,72
female,group C,high school,standard,none,65,82,74
male,group C,bachelor's degree,standard,none,60,44,44
male,group C,master's degree,free/reduced,none,46,48,46
female,group D,master's degree,standard,none,69,69,73
male,group B,some high school,standard,completed,58,68,65
male,group D,associate's degree,free/reduced,none,82,80,78
male,group C,associate's degree,free/reduced,none,55,61,53
female,group B,high school,standard,none,54,53,59
female,group A,high school,free/reduced,none,51,64,62
female,group C,some college,free/reduced,none,54,78,74
female,group B,high school,standard,completed,69,73,72
male,group D,some college,standard,none,83,78,73
female,group C,some college,standard,none,58,73,68
male,group D,some high school,standard,none,68,50,53
female,group D,some high school,standard,none,63,73,70
female,group B,associate's degree,standard,none,44,54,49
male,group D,some college,standard,completed,72,69,73
male,group B,some high school,free/reduced,none,55,56,50
female,group D,bachelor's degree,free/reduced,completed,56,68,74
male,group D,associate's degree,free/reduced,none,66,60,59
female,group E,some high school,standard,none,93,93,92
female,group E,some high school,standard,none,76,85,80
male,group C,some college,free/reduced,completed,75,66,61
female,group D,associate's degree,free/reduced,none,47,74,73
male,group D,high school,standard,none,97,84,78
male,group A,some high school,standard,none,75,62,54
female,group C,bachelor's degree,standard,none,65,75,78
male,group B,high school,standard,none,82,73,75
female,group D,some college,standard,none,73,78,86
male,group B,some college,free/reduced,none,67,65,61
male,group C,high school,standard,completed,87,77,82
female,group E,some high school,standard,none,77,73,74
female,group A,some college,standard,none,82,85,86
male,group E,high school,standard,none,87,75,72
male,group D,master's degree,free/reduced,completed,74,76,80
male,group C,master's degree,standard,completed,84,88,84
female,group B,some college,standard,completed,54,63,68
male,group B,high school,standard,completed,68,77,69
female,group E,master's degree,standard,completed,57,62,71
female,group A,some college,standard,none,49,53,54
female,group B,some college,free/reduced,completed,62,86,84
male,group C,associate's degree,standard,none,62,64,61
male,group B,bachelor's degree,standard,none,79,72,69
male,group D,some high school,free/reduced,none,62,61,50
male,group D,associate's degree,standard,completed,100,100,100
female,group E,some high school,standard,completed,83,96,93
female,group B,master's degree,free/reduced,none,40,41,50
male,group A,some college,standard,none,63,58,57
male,group C,associate's degree,free/reduced,completed,42,45,45
male,group E,high school,standard,none,78,73,68
female,group E,some high school,standard,none,68,61,56
female,group B,some high school,standard,none,63,73,67
female,group D,some high school,standard,none,64,65,68
male,group B,master's degree,free/reduced,completed,70,72,73
female,group C,associate's degree,standard,none,60,80,76
male,group B,some college,free/reduced,completed,40,37,40
female,group B,some high school,standard,none,76,84,83
female,group C,bachelor's degree,standard,none,66,70,72
female,group C,master's degree,free/reduced,completed,87,98,95
female,group D,associate's degree,standard,none,67,65,74
male,group E,bachelor's degree,free/reduced,none,86,81,78
male,group C,some high school,standard,none,62,66,63
female,group E,some high school,standard,none,70,74,68
male,group E,high school,standard,completed,100,98,95
male,group E,associate's degree,free/reduced,none,59,54,51
male,group D,associate's degree,standard,none,63,55,59
female,group C,associate's degree,standard,completed,59,72,75
male,group D,some high school,standard,none,64,64,55
male,group B,associate's degree,standard,none,84,70,67
male,group B,high school,free/reduced,completed,44,43,44
female,group E,associate's degree,free/reduced,completed,78,100,99
female,group D,some high school,standard,completed,88,90,91
male,group C,some college,standard,completed,74,77,78
female,group E,some college,standard,completed,73,68,70
male,group C,some college,standard,completed,68,56,64
male,group D,bachelor's degree,free/reduced,none,71,64,67
female,group E,some college,standard,none,77,70,67
male,group C,some high school,standard,none,64,55,56
male,group B,some high school,standard,none,64,58,55
female,group A,associate's degree,free/reduced,completed,69,72,77
male,group E,some college,free/reduced,completed,64,63,68
male,group D,some high school,free/reduced,none,78,70,71
female,group C,some high school,standard,none,52,53,57
male,group C,some college,free/reduced,none,70,68,64
male,group C,high school,standard,completed,67,69,71
female,group C,some college,standard,completed,79,90,90
male,group E,associate's degree,free/reduced,none,66,63,52
male,group E,associate's degree,standard,none,80,81,79
female,group E,some high school,standard,none,77,83,76
male,group D,associate's degree,free/reduced,none,69,67,62
male,group A,some college,standard,none,74,69,65
male,group D,some college,free/reduced,completed,51,51,50
female,group B,some college,free/reduced,none,41,44,53
female,group E,some high school,standard,none,70,65,70
female,group A,associate's degree,free/reduced,completed,63,89,86
male,group D,associate's degree,free/reduced,none,75,77,72
male,group B,some high school,standard,completed,62,57,54
male,group C,some college,free/reduced,none,66,63,59
male,group E,high school,standard,none,65,41,47
female,group C,master's degree,standard,completed,79,86,84
male,group D,associate's degree,standard,none,80,77,73
male,group E,master's degree,free/reduced,none,50,41,45
female,group D,associate's degree,standard,completed,87,100,100
male,group D,some high school,free/reduced,completed,60,57,59
female,group D,associate's degree,free/reduced,none,37,42,43
female,group C,some college,standard,completed,70,81,83
female,group A,high school,standard,none,57,65,67
female,group C,bachelor's degree,free/reduced,none,57,77,77
female,group D,some high school,free/reduced,completed,48,60,63
female,group D,some college,free/reduced,completed,45,65,66
female,group C,some high school,standard,completed,65,77,76
male,group B,associate's degree,standard,none,74,73,68
female,group C,some college,standard,none,59,61,61
female,group C,high school,free/reduced,completed,72,83,83
male,group E,some college,standard,completed,100,88,88
male,group C,high school,free/reduced,completed,67,70,62
female,group B,some high school,free/reduced,completed,48,66,61
female,group C,high school,standard,none,60,69,70
female,group D,high school,standard,none,67,71,68
male,group C,bachelor's degree,free/reduced,completed,68,73,75
female,group C,associate's degree,standard,none,69,70,70
male,group E,some college,standard,none,86,78,67
male,group E,master's degree,standard,completed,83,84,80
male,group C,high school,standard,completed,63,59,58
female,group D,some high school,standard,none,46,49,45
male,group D,some college,standard,none,70,63,67
female,group D,some college,standard,none,32,45,48
male,group E,some high school,free/reduced,completed,83,73,74
male,group C,high school,standard,none,81,84,80
male,group E,high school,free/reduced,none,68,68,64
female,group A,some college,standard,none,77,89,84
female,group C,associate's degree,free/reduced,completed,55,75,70
male,group B,some college,free/reduced,none,59,58,52
female,group E,associate's degree,free/reduced,none,62,71,69
female,group C,some college,standard,completed,63,76,78
female,group D,master's degree,standard,none,86,100,100
male,group C,high school,standard,none,72,66,66
female,group B,associate's degree,free/reduced,none,35,60,52
female,group C,high school,free/reduced,none,59,71,70
male,group D,associate's degree,standard,completed,72,60,57
male,group C,some college,standard,none,71,64,62
male,group B,master's degree,standard,none,73,62,68
male,group D,associate's degree,free/reduced,none,67,62,63
female,group D,some high school,standard,none,86,86,90
male,group E,high school,free/reduced,completed,63,58,55
male,group B,bachelor's degree,standard,completed,71,69,69
male,group B,some college,free/reduced,none,60,60,51
female,group C,some college,standard,completed,90,93,98
female,group D,associate's degree,free/reduced,none,58,77,77
male,group E,associate's degree,free/reduced,completed,98,91,91
male,group B,some college,standard,completed,78,70,76
male,group B,master's degree,standard,completed,83,93,90
male,group D,some high school,standard,none,66,50,56
male,group B,associate's degree,free/reduced,none,52,47,45
male,group C,master's degree,standard,none,71,55,58
female,group A,high school,free/reduced,none,64,77,82
male,group C,bachelor's degree,standard,completed,82,79,78
male,group B,some college,standard,none,58,56,44
female,group A,some college,standard,none,49,51,55
female,group C,high school,free/reduced,completed,69,86,85
female,group B,some high school,standard,none,59,68,64
male,group D,some high school,standard,completed,60,52,60
female,group B,high school,free/reduced,none,68,78,69
male,group C,high school,standard,none,81,80,72
female,group E,some college,standard,none,90,100,100
male,group D,associate's degree,standard,completed,72,69,78
female,group D,some college,standard,completed,76,94,93
female,group A,some high school,free/reduced,completed,48,49,55
male,group C,associate's degree,standard,none,80,75,71
female,group D,associate's degree,free/reduced,none,53,70,67
male,group C,some high school,standard,completed,71,81,73
male,group A,some college,standard,completed,82,86,86
female,group C,associate's degree,standard,completed,72,78,80
female,group C,some college,standard,none,34,31,36
female,group C,high school,standard,none,46,68,59
male,group E,master's degree,free/reduced,completed,64,47,56
female,group C,some high school,standard,completed,78,93,94
female,group E,some high school,standard,none,57,59,50
male,group D,high school,free/reduced,none,78,81,76
female,group B,associate's degree,standard,none,66,77,80
male,group D,some college,standard,completed,77,84,87
female,group B,high school,standard,completed,65,77,80
male,group B,some college,standard,none,65,64,64
female,group B,high school,free/reduced,completed,39,68,61
male,group E,high school,standard,none,73,73,61
male,group D,some college,standard,none,83,71,72
female,group B,bachelor's degree,standard,none,62,71,66
male,group E,some high school,standard,completed,67,71,66
female,group E,some high school,standard,completed,80,80,85
female,group C,bachelor's degree,standard,none,82,81,86
female,group B,some college,standard,none,75,84,86
female,group B,high school,free/reduced,completed,49,63,63
male,group C,some high school,standard,none,63,66,58
male,group B,associate's degree,standard,none,61,60,55
male,group E,some college,standard,completed,76,78,77
male,group D,associate's degree,free/reduced,none,80,73,70
female,group A,some college,free/reduced,none,30,50,44
male,group A,associate's degree,free/reduced,none,67,62,66
female,group B,some high school,free/reduced,none,49,58,59
male,group C,high school,standard,none,65,69,61
male,group E,associate's degree,standard,none,73,71,67
male,group C,bachelor's degree,standard,completed,64,57,59
female,group D,master's degree,standard,none,86,81,84
male,group B,some high school,standard,completed,30,50,48
female,group B,associate's degree,free/reduced,completed,43,64,66
male,group E,master's degree,standard,none,65,54,49
female,group C,some college,standard,none,71,89,82
male,group C,bachelor's degree,standard,none,65,56,54
male,group B,some college,standard,none,78,78,69
male,group D,associate's degree,standard,completed,76,69,72
male,group A,high school,standard,none,59,55,51
female,group C,associate's degree,standard,none,73,87,79
male,group C,some high school,free/reduced,completed,30,30,33
male,group C,high school,standard,none,81,72,71
female,group C,some high school,standard,none,50,70,63
male,group D,high school,standard,none,83,70,75
male,group D,bachelor's degree,free/reduced,none,83,77,83
male,group D,some college,standard,completed,75,71,68
male,group E,some college,standard,none,78,72,63
male,group E,some college,standard,none,90,88,79
female,group D,some college,free/reduced,none,65,85,74
male,group C,some high school,standard,none,73,71,62
male,group A,some college,free/reduced,none,46,44,46
male,group B,some college,standard,none,56,51,46
male,group D,associate's degree,standard,completed,80,72,75
female,group B,high school,standard,none,72,76,66
female,group E,some college,standard,none,98,100,97
male,group D,master's degree,standard,none,94,95,92
female,group E,some college,standard,none,67,81,76
male,group C,bachelor's degree,free/reduced,none,73,70,63
female,group D,bachelor's degree,standard,completed,80,91,97
male,group B,some college,free/reduced,completed,42,60,56
male,group D,some college,free/reduced,none,50,50,52
male,group D,some high school,standard,none,66,67,65
male,group E,bachelor's degree,standard,completed,78,75,80
male,group B,bachelor's degree,standard,none,73,67,73
female,group E,bachelor's degree,standard,none,73,80,78
